Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,AIC_Optimized_Space,2,XGBoost_Classifier,0.8764,0.8343,0.8448,0.8393
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,AIC_Optimized_Space,2,Support_Vector_Classifier,0.8764,0.5016,0.5204,0.5107
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,AIC_Optimized_Space,2,Neural_Network_MLP,0.8652,0.4913,0.5371,0.5105
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,BIC_Optimized_Space,2,XGBoost_Classifier,0.8764,0.8343,0.8448,0.8393
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,BIC_Optimized_Space,2,Support_Vector_Classifier,0.8764,0.5016,0.5204,0.5107
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,BIC_Optimized_Space,2,Neural_Network_MLP,0.8652,0.4913,0.5371,0.5105
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,Full_Feature_Space,8,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,Full_Feature_Space,8,Support_Vector_Classifier,0.9326,0.4364,0.6626,0.4939
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,Full_Feature_Space,8,Neural_Network_MLP,0.9326,0.4586,0.6626,0.5177
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,AIC_Optimized_Space,3,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,AIC_Optimized_Space,3,Support_Vector_Classifier,0.9438,0.4882,0.6667,0.5496
